,T_MBON_1,T_MBON_2,T_MBON_3,T_MBON_4,T_MBON_5,T_MBON_6,T_MBON_7,T_MBON_8,T_MBON_9,T_MBON_10,T_MBON_11,T_MBON_12,T_MBON_13,T_MBON_14,T_MBON_15,T_MBON_16
F_638_1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
F_639_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
F_640_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
F_657_1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F_658_1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F_659_1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
F_660_1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
F_661_1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
F_662_1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
F_663_1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
F_664_1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
F_665_1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
F_666_1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
F_667_1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
F_668_1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
F_669_1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
F_670_1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
F_671_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
F_672_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
F_689_1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F_690_1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F_691_1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
F_692_1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
F_693_1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
F_694_1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
F_695_1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
F_696_1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
F_697_1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
F_698_1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
